,0
bat_OPS,0.1399104618330622
bat_wRC_plus,0.13285239812087524
bat_SLG,0.11370232137163158
bat_WAR_fg,0.1130213640204791
RBI,0.07665585546486099
AB,0.06394345141204841
bat_OBP,0.06100874340107334
2B,0.042587880887181316
G_bat,0.032898769564900024
WinPct,0.026936054796201855
G_fld,0.02528075921492671
SV,0.020036825764753366
PO,0.017725623143806383
SO_pit,0.015096756729942215
pit_WAR_fg,0.014690706837291316
3B,0.013454043760322814
pit_Kpct,0.010174789245090696
SB,0.009722084272745787
IPouts,0.009657195463001847
E,0.008532132152112843
